,ExtractedSeries,Citation
202,WLR,[2019] 1 WLR 594
203,WLR,[2017] 4 WLR 74
204,WLR,[2020] 4 WLR 96
205,FLR,[2013] 1 FLR 677
206,FLR,[2013] 1 FLR 677
207,FLR,[2013] 1 FLR 677
208,FLR,[1993] 2 FLR 163
209,FLR,(1981) 2 FLR 239
210,FLR,(1981) 2 FLR 239
211,FLR,[1993] 1 FLR 386
212,FLR,[1993] 1 FLR 386
213,FLR,[2009] 1 FLR 443
214,FLR,[2009] 1 FLR 443
215,FLR,[1997] 2 FLR 180
216,FLR,[1997] 2 FLR 180
217,FLR,[2007] 2 FLR 1083
218,FLR,[2007] 2 FLR 1083
219,FLR,[2004] 2 FLR 949
220,FLR,[2018] 2 FLR 111
221,FLR,[2016] 2 FLR 235
222,FLR,[1993] 1 FLR 574
223,FLR,[1998] 2 FLR 810
224,FLR,[1999] 2 FLR 1097
225,FLR,[2004] 2 FLR 1117
226,FLR,[2004] 2 FLR 1117
227,FLR,[2018] 1 FLR 948
228,FLR,[1997] 2 FLR 426
229,FLR,[2003] 1 FLR 292
230,FLR,[1996] 2 FLR 99
231,FLR,[1985] FLR 134
232,UKSC,[2019] UKSC 42
233,UKSC,[2019] UKSC 42
234,UKSC,[2019] UKSC 42
235,UKSC,[2019] UKSC 42
236,UKSC,[2019] UKSC 42
237,UKSC,[2012] UKSC 2
238,UKSC,[2015] UKSC 11
239,SCR,[2002] 4 SCR 429
240,SCR,[2002] 4 SCR 429
241,EWCOP,[2015] EWCOP 76
242,EWCOP,[2014] EWCOP 1317
243,EWCOP,[2019] EWCOP 24
244,EWCOP,[2020] EWCOP 4
245,AC,[1972] AC877
246,Ch,[1993] Ch. 223
247,AC,[2004] 1 AC 260
248,CLC,[2009] 2 CLC 226
249,BCC,[2007] BCC54
250,EWCA Civ,2013] EWCA Civ1147
251,EWCA Civ,[2014] EWCA Civ1101
252,Fam,"Fam), [2016] 1"
253,QB,[1981 QB 720
254,FCR,[2014] 3 FCR 405
255,FCR,[2013] 3 FCR 559
256,Case C,Case C-393/18
257,Case C,Case C281/02
258,FLR,(1982) 3 FLR 386
259,EWHC  Fam,2013] EWHC 3064 (Fam)
260,FCR,[2011] 1 FCR 141
261,PIQR P,[1998] PIQR P324
262,EWHC  Fam,[2005] EWHC 733 Fam
263,UKHL,[2006] UKHL51
264,FLR,[2008] 1 FLR 251
265,EWHC  Fam,2013] EWHC 3064 (Fam)
266,FCR,[2011] 1 FCR 141
267,EWHC  Fam,2013] EWHC 3064 (Fam)
268,LA,LA (19
269,FCR,[2011] 1 FCR 141
270,EWFC,2018 EWFC 1
271,EWHC  FamAdmin,[2002] EWHC 18 (Fam/Admin)
272,FCR,[1998] 1 FCR 498
273,Bland case,Bland case
274,Bland case,Bland case
275,EWHC  Admin,[2003] EWHC 155 Admin
276,EWCA Civ,[2001] EWCA Civ1151
277,Fam,[1988] Fam. 122
278,WLR,[2000] 1WLR 977
279,FCR,[2003] 1 FCR 266
280,SWd,842 S.W.2d 588
281,AC,[2003] 1 AC959
282,say,say 1
283,CLR,(1982) 149 CLR 337
284,NSWCA,[2010] NSWCA 111
285,NSWCA,[2010] NSWCA 111
286,LR  CP,(1875) LR 10 CP 196
287,EWCA Civ,[2013] EWCA (Civ) 394
288,Ch,[1907] 2 Ch. 1
289,NZLR,[1992] 1 NZLR 294
290,NSWSC,[2011] NSWSC 1301
291,Ch,[1934] Ch. 338
292,Lloyds Rep,[1991] 1 Lloyd's Rep. 136
293,FCR,[1995] 1 FCR 465
294,FCR,[1995] 3 FCR 735
295,IRLR,[1988] I.R.L.R. 388
296,IRLR,[1989] I.R.L.R. 522
297,CLC,[2001] CLC 1412
298,KIR,(1971) 11 KIR 413
299,EWHC Ch,[2009] EWHC 2785(Ch)
300,Ch,(2000) Ch 602
301,ER,46 ER 205
302,ER,11 E.R. 1242
303,All ER,(1999) 4 All ER 546
304,WTLR,[2001] WTLR 901
305,WTLR,[2001] WTLR 901
306,OPLR,[2003] OPLR 281
307,OPLR,[2003] OPLR 281
308,EWHC  Ch,[2004] EWHC 749 Ch
309,WLR,[1964]1 WLR 451
310,All ER,[1964] 1 All ER 367
311,ALL ER,[1999] 1 ALL ER 400
312,LR  CH APP,[1874] LR 9 CH APP 244
313,CLC,[1999] C.L.C 1469
314,say,say 5
315,App Cas,(1889) 14 App Cas 665
316,App Cas,(1879) 4 App Cas 801
317,Bing NC,(1838) 4 Bing NC 212
318,Bing NC,4 Bing NC 212
