id,family,description,uri_template,canonical_form,canonical_example,match_example,citation_type,is_canonical,is_neutral,jurisdiction,pattern
lrcpd,The Law Reports (Common Pleas Division),The Law Reports (Common Pleas Division) (1875-1880) (ICLR),,d1 CPD d2,1 CPD 123,1 CPD 123,PubNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrcpd"", ""description"": ""The Law Reports (Common Pleas Division) (1875-1880) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""LIKE_NUM"": true},{""ORTH"": ""CPD""},{""LIKE_NUM"": true}]}"
lrcp,The Law Reports (Common Pleas),The Law Reports (Common Pleas) (1865-1875) (ICLR),,LR d1 CP d2,LR 1 CP 123,LR 1 CP 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrcp"", ""description"": ""The Law Reports (Common Pleas) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""CP""}, {""LIKE_NUM"": true}]}"
lrcc,The Law Reports (Crown Cases Reserved),The Law Reports (Crown Cases Reserved) (1865-1875) (ICLR),,LR d1 CCR d2,LR 1 CCR 123,LR 1 CCR 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrcc"", ""description"": ""The Law Reports (Crown Cases Reserved) (1765-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""CCR""},{""LIKE_NUM"": true}]}"
lreq,The Law Reports (Equity Cases),The Law Reports (Equity Cases) (1865-1875) (ICLR),,LR d1 Eq d2,LR 1 Eq 123,LR 1 Eq 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lreq"", ""description"": ""The Law Reports (Equity Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""Eq""},{""LIKE_NUM"": true}]}"
lrex,The Law Reports (Exchequer Cases),The Law Reports (Exchequer Cases) (1865-1875) (ICLR),,LR d1 Exch d2,LR 1 Exch 123,LR 1 Exch 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrex"", ""description"": ""The Law Reports (Exchequer Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""Exch""},{""LIKE_NUM"": true}]}"
lrexd,The Law Reports (Exchequer Division),The Law Reports (Exchequer Division) (1875-1880) (ICLR),,d1 ExD d2,1 ExD 123,1 ExD 123,PubNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrexd"", ""description"": ""The Law Reports (Exchequer Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""LIKE_NUM"": true},{""ORTH"": ""ExD""},{""LIKE_NUM"": true}]}"
lrfam_single,The Law Reports (Family Division),Family Division (1972-Present) (Single-Volume) (ICLR),,[dddd] Fam d+,[2022] Fam 123,[2022] Fam 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrfam_single"", ""description"": ""Family Division (1972-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Fam""},{""LIKE_NUM"": true}]}"
lrfam_single_a,The Law Reports (Family Division),Family Division (1972-Present) (Single-Volume) (ICLR),,[dddd] Fam d+,[2022] Fam 123,[2022] Fam. 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrfam_single_a"", ""description"": ""Family Division (1972-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Fam""}, {""ORTH"": "".""},{""LIKE_NUM"": true}]}"
lrfam_multi,The Law Reports (Family Division),Family Division (1972-Present) (Multi-Volume) (ICLR),,[dddd] d1 Fam d2,[2022] 1 Fam 123,[2022] 1 Fam 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrfam_multi"", ""description"": ""Family Division (1972-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true},{""ORTH"": ""Fam""},{""LIKE_NUM"": true}]}"
lrkb_single,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Single-Volume) (ICLR),,[dddd] KB d+,[2022] KB 123,[2022] KB 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrkb_single"", ""description"": ""King's Bench Division (1901-1952) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""KB""},{""LIKE_NUM"": true}]}"
lrkb_single_a,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Single-Volume) (ICLR),,[dddd] KB d+,[2022] KB 123,[2022] K.B. 123,PubYearAbbrNum,FALSE,FALSE,EW,"{""id"": ""lrkb_single_a"", ""description"": ""King's Bench Division (1901-1952) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""K.B.""},{""LIKE_NUM"": true}]}"
